major_uid,major_no,major_code,major_name,category_id,category_name,status,source_relative_path
engineering_093,93,093,소프트웨어융합학과,engineering,공학계열,complete_two_page_visible,engineering/majors/093_#Uc18c#Ud504#Ud2b8#Uc6e8#Uc5b4#Uc735#Ud569#Ud559#Uacfc.json
engineering_094,94,094,소프트웨어학과,engineering,공학계열,complete_two_page_visible,engineering/majors/094_#Uc18c#Ud504#Ud2b8#Uc6e8#Uc5b4#Ud559#Uacfc.json
engineering_095,95,095,식품생명공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/095_#Uc2dd#Ud488#Uc0dd#Uba85#Uacf5#Ud559#Uacfc.json
engineering_096,96,096,신소재공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/096_#Uc2e0#Uc18c#Uc7ac#Uacf5#Ud559#Uacfc.json
engineering_097,97,097,안전공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/097_#Uc548#Uc804#Uacf5#Ud559#Uacfc.json
engineering_098,98,098,에너지공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/098_#Uc5d0#Ub108#Uc9c0#Uacf5#Ud559#Uacfc.json
engineering_099,99,099,원자력공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/099_#Uc6d0#Uc790#Ub825#Uacf5#Ud559#Uacfc.json
engineering_100,100,100,의공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/100_#Uc758#Uacf5#Ud559#Uacfc.json
engineering_101,101,101,자동차공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/101_#Uc790#Ub3d9#Ucc28#Uacf5#Ud559#Uacfc.json
engineering_102,102,102,전기공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/102_#Uc804#Uae30#Uacf5#Ud559#Uacfc.json
engineering_103,103,103,전자공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/103_#Uc804#Uc790#Uacf5#Ud559#Uacfc.json
engineering_104,104,104,정보보안학과,engineering,공학계열,complete_two_page_visible,engineering/majors/104_#Uc815#Ubcf4#Ubcf4#Uc548#Ud559#Uacfc.json
engineering_105,105,105,정보보호학과,engineering,공학계열,complete_two_page_visible,engineering/majors/105_#Uc815#Ubcf4#Ubcf4#Ud638#Ud559#Uacfc.json
engineering_106,106,106,정보통신공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/106_#Uc815#Ubcf4#Ud1b5#Uc2e0#Uacf5#Ud559#Uacfc.json
engineering_107,107,107,제약공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/107_#Uc81c#Uc57d#Uacf5#Ud559#Uacfc.json
engineering_108,108,108,조선해양공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/108_#Uc870#Uc120#Ud574#Uc591#Uacf5#Ud559#Uacfc.json
engineering_109,109,109,컴퓨터공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/109_#Ucef4#Ud4e8#Ud130#Uacf5#Ud559#Uacfc.json
engineering_110,110,110,토목공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/110_#Ud1a0#Ubaa9#Uacf5#Ud559#Uacfc.json
engineering_111,111,111,토목환경공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/111_#Ud1a0#Ubaa9#Ud658#Uacbd#Uacf5#Ud559#Uacfc.json
engineering_112,112,112,항공기계공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/112_#Ud56d#Uacf5#Uae30#Uacc4#Uacf5#Ud559#Uacfc.json
engineering_113,113,113,항공우주공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/113_#Ud56d#Uacf5#Uc6b0#Uc8fc#Uacf5#Ud559#Uacfc.json
engineering_114,114,114,항공운항학과,engineering,공학계열,complete_two_page_visible,engineering/majors/114_#Ud56d#Uacf5#Uc6b4#Ud56d#Ud559#Uacfc.json
engineering_115,115,115,항공정비학과,engineering,공학계열,complete_two_page_visible,engineering/majors/115_#Ud56d#Uacf5#Uc815#Ube44#Ud559#Uacfc.json
engineering_116,116,116,해양공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/116_#Ud574#Uc591#Uacf5#Ud559#Uacfc.json
engineering_117,117,117,화공생명공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/117_#Ud654#Uacf5#Uc0dd#Uba85#Uacf5#Ud559#Uacfc.json
engineering_118,118,118,화장품공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/118_#Ud654#Uc7a5#Ud488#Uacf5#Ud559#Uacfc.json
engineering_119,119,119,화학공학과,engineering,공학계열,complete_two_page_visible,engineering/majors/119_#Ud654#Ud559#Uacf5#Ud559#Uacfc.json
humanities_001,1,01,고고학과,humanities,인문계열,complete_two_page_visible,humanities/majors/01_#Uace0#Uace0#Ud559#Uacfc.json
humanities_002,2,02,국어국문학과,humanities,인문계열,complete_two_page_visible,humanities/majors/02_#Uad6d#Uc5b4#Uad6d#Ubb38#Ud559#Uacfc.json
humanities_003,3,03,노어노문학과,humanities,인문계열,complete_two_page_visible,humanities/majors/03_#Ub178#Uc5b4#Ub178#Ubb38#Ud559#Uacfc.json
humanities_004,4,04,독어독문학과,humanities,인문계열,complete_two_page_visible,humanities/majors/04_#Ub3c5#Uc5b4#Ub3c5#Ubb38#Ud559#Uacfc.json
humanities_005,5,05,문예창작학과,humanities,인문계열,complete_two_page_visible,humanities/majors/05_#Ubb38#Uc608#Ucc3d#Uc791#Ud559#Uacfc.json
humanities_006,6,06,문화인류학과,humanities,인문계열,complete_two_page_visible,humanities/majors/06_#Ubb38#Ud654#Uc778#Ub958#Ud559#Uacfc.json
humanities_007,7,07,문화유산학과,humanities,인문계열,complete_two_page_visible,humanities/majors/07_#Ubb38#Ud654#Uc720#Uc0b0#Ud559#Uacfc.json
humanities_008,8,08,미학과,humanities,인문계열,complete_two_page_visible,humanities/majors/08_#Ubbf8#Ud559#Uacfc.json
humanities_009,9,09,불어불문학과,humanities,인문계열,complete_two_page_visible,humanities/majors/09_#Ubd88#Uc5b4#Ubd88#Ubb38#Ud559#Uacfc.json
humanities_010,10,010,사학과,humanities,인문계열,complete_two_page_visible,humanities/majors/10_#Uc0ac#Ud559#Uacfc.json
humanities_011,11,011,신학과,humanities,인문계열,complete_two_page_visible,humanities/majors/11_#Uc2e0#Ud559#Uacfc.json
