seq_in_batch,catalog_no,book_uid,title,author,publisher,detail_page_start,status
49,189,booksrc_0189,인수공통 모든 전염병의 열쇠,데이비드 퀘먼,꿈꿀자유,156,pending_detail
50,190,booksrc_0190,입속에서 시작하는 미생물 이야기,김혜성,파라사이언스,159,pending_detail
51,191,booksrc_0191,자존감 수업,윤홍균,심플라이프,162,pending_detail
52,192,booksrc_0192,젊은 음악가를 위한 슈만의 조언,스티븐 이설리스,클,165,pending_detail
53,193,booksrc_0193,정의란 무엇인가,마이클 샌델,와이즈베리,168,pending_detail
54,194,booksrc_0194,제 2의 성,시몬 드 보부아르,을유문화사,171,pending_detail
55,195,booksrc_0195,"제인 에어 1, 2",샬롯 브론테,문예출판사,174,pending_detail
56,196,booksrc_0196,주홍글씨,호손,현대지성,177,pending_detail
57,197,booksrc_0197,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,180,pending_detail
58,198,booksrc_0198,철학적 탐구,비트겐슈타인,아카넷,183,pending_detail
59,199,booksrc_0199,치과의사는 입만 진료하지 않는다,아이다 요시테루,정다와,186,pending_detail
60,200,booksrc_0200,칸트와 헤겔의 철학,백종현,아카넷,189,pending_detail
61,201,booksrc_0201,택리지,이중환,을유문화사,192,pending_detail
62,202,booksrc_0202,퇴계선집,이황,현암사,195,pending_detail
63,203,booksrc_0203,팩트풀니스,한스 로슬링,김영사,198,pending_detail
64,204,booksrc_0204,페스트,알베르 카뮈,민음사,201,pending_detail
65,205,booksrc_0205,평균의 종말,토드 로즈,21세기북스,204,pending_detail
66,206,booksrc_0206,필경사 바틀비,허먼 멜빌,새움,207,pending_detail
67,207,booksrc_0207,한국통사,박은식,아카넷,210,pending_detail
68,208,booksrc_0208,허클베리핀의 모험,마크 트웨인,민음사,213,pending_detail
69,209,booksrc_0209,혁명의 시대,에릭 홉스봄,한길사,216,pending_detail
70,210,booksrc_0210,황야의 늑대,헤르만 헤세,현대문학,219,pending_detail
