catalog_no,book_uid,title,title_normalized,author,publisher,source_batch,status,source_path
100,booksrc_0100,새로운 약은 어떻게 창조되나,새로운약은어떻게창조되나,교토대학대학원약학연구과,서울대학교출판문화원,book3_allinone3_toc_append_v1,pending_detail,source/books/0100.json
101,booksrc_0101,설국,설국,가와바타 야스나리,민음사,book3_allinone3_toc_append_v1,pending_detail,source/books/0101.json
102,booksrc_0102,성학집요,성학집요,율곡 이이,청어람미디어,book3_allinone3_toc_append_v1,pending_detail,source/books/0102.json
103,booksrc_0103,수레바퀴 아래서,수레바퀴아래서,헤르만 헤세,민음사,book3_allinone3_toc_append_v1,pending_detail,source/books/0103.json
104,booksrc_0104,숨결이 바람 될 때,숨결이바람될때,폴 칼라니티,흐름출판,book3_allinone3_toc_append_v1,pending_detail,source/books/0104.json
105,booksrc_0105,시경,시경,작자 미상,을유문화사,book3_allinone3_toc_append_v1,pending_detail,source/books/0105.json
106,booksrc_0106,신기관,신기관,프랜시스 베이컨,을재,book3_allinone3_toc_append_v1,pending_detail,source/books/0106.json
107,booksrc_0107,아내를 모자로 착각한 남자,아내를모자로착각한남자,올리버 색스,알마,book3_allinone3_toc_append_v1,pending_detail,source/books/0107.json
108,booksrc_0108,아픔이 길이 되려면,아픔이길이되려면,김승섭,동아시아,book3_allinone3_toc_append_v1,pending_detail,source/books/0108.json
109,booksrc_0109,안나 카레니나,안나카레니나,레프 톨스토이,열린책들,book3_allinone3_toc_append_v1,pending_detail,source/books/0109.json
110,booksrc_0110,양철북,양철북,귄터 그라스,민음사,book3_allinone3_toc_append_v1,pending_detail,source/books/0110.json
111,booksrc_0111,엔트로피,엔트로피,제레미 리프킨,세종연구원,book3_allinone3_toc_append_v1,pending_detail,source/books/0111.json
112,booksrc_0112,역사를 위한 변명,역사를위한변명,마르크 블로크,한길사,book3_allinone3_toc_append_v1,pending_detail,source/books/0112.json
113,booksrc_0113,열하일기,열하일기,박지원,돌베개,book3_allinone3_toc_append_v1,pending_detail,source/books/0113.json
114,booksrc_0114,오래된 미래,오래된미래,헬레나 노르베리 호지,중앙북스,book3_allinone3_toc_append_v1,pending_detail,source/books/0114.json
115,booksrc_0115,우리 시대의 동물 해방,우리시대의동물해방,피터 싱어,연암서가,book3_allinone3_toc_append_v1,pending_detail,source/books/0115.json
116,booksrc_0116,우파니샤드,우파니샤드,정창영,무지개다리너머,book3_allinone3_toc_append_v1,pending_detail,source/books/0116.json
117,booksrc_0117,의사소통 행위이론,의사소통행위이론,위르겐 하버마스,나남,book3_allinone3_toc_append_v1,pending_detail,source/books/0117.json
118,booksrc_0118,이것은 미술이 아니다,이것은미술이아니다,메리 앤 스타니스제프스키,현실문화연구,book3_allinone3_toc_append_v1,pending_detail,source/books/0118.json
119,booksrc_0119,이방인,이방인,알베르 카뮈,책세상,book3_allinone3_toc_append_v1,pending_detail,source/books/0119.json
120,booksrc_0120,이탈리아 르네상스 문화,이탈리아르네상스문화,야코프 부르크하르트,한길사,book3_allinone3_toc_append_v1,pending_detail,source/books/0120.json
121,booksrc_0121,인간의 조건,인간의조건,앙드레 말로,지식을 만드는 지식,book3_allinone3_toc_append_v1,pending_detail,source/books/0121.json
122,booksrc_0122,일차원적 인간,일차원적인간,H. 마르쿠제,한마음사,book3_allinone3_toc_append_v1,pending_detail,source/books/0122.json
123,booksrc_0123,자본론,자본론,카를 마르크스,모두의책,book3_allinone3_toc_append_v1,pending_detail,source/books/0123.json
124,booksrc_0124,적과 흑,적과흑,스탕달,민음사,book3_allinone3_toc_append_v1,pending_detail,source/books/0124.json
125,booksrc_0125,정의론,정의론,존 롤스,이학사,book3_allinone3_toc_append_v1,pending_detail,source/books/0125.json
126,booksrc_0126,제3의 물결,제3의물결,앨빈 토플러,범우사,book3_allinone3_toc_append_v1,pending_detail,source/books/0126.json
127,booksrc_0127,죽은 경제학자의 살아있는 아이디어,죽은경제학자의살아있는아이디어,토드 부크홀츠,김영사,book3_allinone3_toc_append_v1,pending_detail,source/books/0127.json
128,booksrc_0128,채식주의자,채식주의자,한강,창비사,book3_allinone3_toc_append_v1,pending_detail,source/books/0128.json
129,booksrc_0129,"총, 균, 쇠",총균쇠,재레드 다이아몬드,김영사,book3_allinone3_toc_append_v1,pending_detail,source/books/0129.json
130,booksrc_0130,침묵의 봄,침묵의봄,레이첼 카슨,에코리브르,book3_allinone3_toc_append_v1,pending_detail,source/books/0130.json
131,booksrc_0131,카인의 후예,카인의후예,황순원,문학과지성사,book3_allinone3_toc_append_v1,pending_detail,source/books/0131.json
132,booksrc_0132,태평천하,태평천하,채만식,민음사,book3_allinone3_toc_append_v1,pending_detail,source/books/0132.json
133,booksrc_0133,통치론,통치론,존 로크,까치,book3_allinone3_toc_append_v1,pending_detail,source/books/0133.json
134,booksrc_0134,"파타고니아, 파도가 칠 때는 서핑을",파타고니아파도가칠때는서핑을,이본 쉬나드,라이팅하우스,book3_allinone3_toc_append_v1,pending_detail,source/books/0134.json
135,booksrc_0135,페르마의 마지막 정리,페르마의마지막정리,사이먼 싱,영림카디널,book3_allinone3_toc_append_v1,pending_detail,source/books/0135.json
136,booksrc_0136,평건과 리바이어던,평건과리바이어던,오차이 벤클러,반비,book3_allinone3_toc_append_v1,pending_detail,source/books/0136.json
137,booksrc_0137,프로테스탄트 윤리와 자본주의 정신,프로테스탄트윤리와자본주의정신,막스 베버,현대지성,book3_allinone3_toc_append_v1,pending_detail,source/books/0137.json
138,booksrc_0138,하노버에서 온 음악편지,하노버에서온음악편지,손열음,중앙북스,book3_allinone3_toc_append_v1,pending_detail,source/books/0138.json
139,booksrc_0139,한중록,한중록,혜경궁 홍씨,스타북스,book3_allinone3_toc_append_v1,pending_detail,source/books/0139.json
140,booksrc_0140,혼돈으로부터의 질서,혼돈으로부터의질서,일리야 프리고진 외,자유아카데미,book3_allinone3_toc_append_v1,pending_detail,source/books/0140.json
